"onset" "subj" "trial"
"715" 92 6 298
"716" 392 6 298
"717" 448 6 298
"718" -348 6 299
"719" 188 6 299
"720" 344 6 299
"721" -80 6 300
"722" 80 6 300
"723" 36 6 301
"724" -68 6 302
"725" 268 6 302
"726" -388 6 303
"727" 520 6 303
"728" 448 6 304
"729" 436 6 305
"730" 412 6 306
"731" -60 6 307
"732" 476 6 307
"733" 316 6 308
"734" 372 6 308
"735" -288 6 309
"736" -132 6 309
"737" 480 6 309
"738" 560 6 309
"739" 600 6 309
"740" -124 6 310
"741" -232 6 311
"742" 552 6 311
"743" 564 6 311
"744" -88 6 312
"745" 288 6 312
"746" 324 6 312
"747" -384 6 313
"748" -148 6 313
"749" 240 6 313
"750" -68 6 314
"751" 60 6 314
"752" 396 6 314
"753" -372 6 315
"754" -148 6 315
"755" 232 6 315
"756" 376 6 315
"757" -28 6 316
"758" 0 6 316
"759" 20 6 316
"760" 436 6 316
"761" 560 6 316
"762" -16 6 317
"763" 424 6 317
"764" -304 6 318
"765" 524 6 318
"766" -56 6 319
"767" 104 6 319
"768" 0 6 320
"769" 380 6 320
"770" -228 6 321
"771" 432 6 321
"772" 488 6 321
"773" 548 6 321
"774" 408 6 322
"775" 408 6 322
"776" 580 6 322
"777" -172 6 323
"778" -92 6 323
"779" -216 6 324
"780" 20 6 324
"781" 472 6 324
"782" 204 6 325
"783" 332 6 325
"784" -372 6 326
"785" 384 6 326
"786" -252 6 327
"787" 24 6 327
"788" 520 6 327
"789" -328 6 328
"790" 436 6 328
"791" 480 6 328
"792" -320 6 329
"793" 96 6 329
"794" 56 6 330
"795" 520 6 330
"796" -300 6 331
"797" -16 6 331
"798" 536 6 331
"799" 284 6 332
"800" -136 6 333
"801" -348 6 334
"802" -28 6 334
"803" 492 6 334
"804" -184 6 335
"805" 296 6 335
"806" -268 6 336
"807" -156 6 336
"808" 444 6 336
"809" -160 6 337
"810" 336 6 337
"811" -56 6 338
"812" -36 6 338
"813" 376 6 338
"814" -124 6 339
"815" 256 6 339
"816" 472 6 339
"817" -104 6 340
"818" -44 6 340
"819" 376 7 341
"820" 260 7 342
"821" 296 7 342
"822" 248 7 343
"823" 544 7 343
"824" 248 7 344
"825" 428 7 344
"826" 24 7 345
"827" -384 7 346
"828" 100 7 346
"829" 316 7 346
"830" -380 7 347
"831" -56 7 347
"832" 544 7 347
"833" 20 7 348
"834" 248 7 348
"835" -360 7 349
"836" 248 7 349
"837" 248 7 349
"838" 236 7 350
"839" 508 7 350
"840" -148 7 351
"841" 244 7 351
"842" 488 7 351
"843" -340 7 352
"844" 248 7 352
"845" -332 7 353
"846" -72 7 353
"847" 480 7 353
"848" -356 7 354
"849" 264 7 354
"850" -156 7 355
"851" -72 7 355
"852" 256 7 355
"853" 44 7 356
"854" 268 7 356
"855" -192 7 357
"856" -348 7 358
"857" 284 7 358
"858" 436 7 358
"859" -40 7 359
"860" 552 7 359
"861" -24 7 360
"862" 312 7 360
"863" 524 7 360
"864" 248 7 361
"865" -60 7 362
"866" -268 7 363
"867" -24 7 363
"868" 80 7 363
"869" 240 7 363
"870" 64 7 364
"871" 292 7 364
"872" -68 7 365
"873" 284 7 365
"874" 236 7 366
"875" 564 7 366
"876" -12 7 367
"877" 252 7 367
"878" 248 7 368
"879" 256 7 368
"880" -316 7 369
"881" -16 7 369
"882" -168 7 370
"883" 240 7 370
"884" 476 7 370
"885" -272 7 371
"886" -28 7 371
"887" 316 7 371
"888" 524 7 371
"889" -216 7 372
"890" 292 7 372
"891" 220 7 373
"892" 496 7 373
"893" 272 7 374
"894" 580 7 374
"895" 92 7 375
"896" -364 7 376
"897" -252 7 376
"898" -56 7 376
"899" 236 7 376
"900" 560 7 376
"901" -332 7 377
"902" 12 7 377
"903" 248 7 377
"904" 596 7 377
"905" 216 7 378
"906" -276 7 379
"907" 508 7 379
"908" 104 7 380
"909" 412 7 380
"910" -200 7 381
"911" 260 7 381
"912" 228 7 382
"913" 264 7 382
"914" 44 7 383
"915" -112 7 384
"916" 252 7 384
"917" -400 7 385
"918" -100 7 385
"919" 324 7 385
"920" 412 7 385
"921" 272 7 386
"922" 508 7 386
"923" -348 7 387
"924" 32 7 387
"925" 272 7 387
"926" 564 7 387
"927" -272 7 388
"928" 8 7 388
"929" 580 7 388
"930" -396 7 389
"931" -132 7 389
"932" 252 7 389
"933" 552 7 389
"934" -200 7 390
"935" -108 7 390
"936" -20 7 390
"937" 200 7 390
"938" 584 7 390
"939" -228 7 391
"940" -8 7 391
"941" -4 7 391
"942" 140 7 391
